id,incident_title,incident_description,incident_date,location_id,location_name,latitude,longitude,country_id,category_id,category_title,building,landmark,area,city,state,country
1251,touching,"in night 2 3 boys were trying to touch me and my friend","06-11-2013 13:45",1612,"Moti Bagh, New Delhi, Delhi, India",28.581433,77.168647,105,"8 | 10","Touching /Groping | Sexual Invites",,110021,"Type IV","New Delhi",Delhi,India
1252,OGLING,"ROADDSIDE SHOPS AND PEOPLE STANDING KEEP PASSING COMMENTS.","06-11-2013 13:43",1613,"Rajokri Village, Harjokri, Rajokri, New Delhi, Delhi 110038, India",28.514254,77.106686,105,"2 | 6 | 10","Commenting | Ogling/Facial Expressions/Staring | Sexual Invites",,110038,Harjokri,"New Delhi",Delhi,India
1253,"chain snatching, COMMENTING","THESE CASES ARE VERY COMMON IN THAT AREA, THOUGH HAVE NEVER FACED ANY, BUT HEARD A LOT ABOUT.","06-11-2013 13:47",1614,"Mangolpuri, New Delhi, Delhi, India",28.688346,77.088103,105,"2 | 8 | 17","Commenting | Touching /Groping | Chain Snatching / Robbery",,110083,"Block Q","New Delhi",Delhi,India
1254,"chain snatching","in evening my phone wallet bag was stolen by a van","06-11-2013 13:49",1615,"JLN Stadium, Pragati Vihar, New Delhi, Delhi 110003, India",28.590401,77.233256,105,15,Others,,110003,"Pragati Vihar","New Delhi",Delhi,India
1255,"taking pictures","in evening a group of boys were taking pictures of some girls","06-11-2013 13:51",1616,"Bijwasan, New Delhi, Delhi, India",28.528935,77.055007,105,3,"Taking pictures",,110061,"Harijan Basti","New Delhi",Delhi,India
1256,OGLING,"A FEW ROADSIDE VENDORS AND PEOPLE PRESENT IN MARKET MOSTLY BEHAVE IN  VERY INDECENT WAY.","06-11-2013 13:50",1617,"DDA Market, Dwarka Sector 10, Dwarka, New Delhi, Delhi 110075, India",28.590033,77.057647,105,"1 | 6 | 8 | 10","Catcalls/Whistles | Ogling/Facial Expressions/Staring | Touching /Groping | Sexual Invites",,110075,"Pocket 1",Delhi,Delhi,India
1257,commenting,"AUTOS AND RICKSHAW DRIVERS THERE PASS COMMENTS.","06-11-2013 13:54",1618,"Dwarka Sector 9, Dwarka, New Delhi, Delhi 110075, India",28.57428,77.065279,105,"2 | 6","Commenting | Ogling/Facial Expressions/Staring",,110075,"Dwarka Sector 9","New Delhi",Delhi,India
1258,catcalls,"in night 2 boys just making nonsense things on the road","06-11-2013 13:53",1619,"New Delhi Railway Station, New Delhi, Delhi 110006, India",28.644371,77.219678,105,"1 | 10","Catcalls/Whistles | Sexual Invites",,110002,"Ratan Lal Market",Delhi,Delhi,India
1259,commenting,"in the evening 2 boys were commentig on some girls","06-11-2013 13:56",1620,"Sector 1 Dwarka, Dwarka, New Delhi, Delhi, India",28.596036,77.074434,105,2,Commenting,,110075,"Mahavir Vihar","New Delhi",Delhi,India
1260,"chain snatching","in night 2 boys came on the bike snatched my chain","06-11-2013 13:59",1621,"Chanakyapuri, New Delhi, Delhi, India",28.59196,77.188775,105,17,"Chain Snatching / Robbery",,110021,Chanakyapuri,"New Delhi",Delhi,India
1261,touching,"A GUY DRUNK WAS TRYING TO TOUCH ME AND DID REALLY OFFENSIVE BEHAVIOR WITH ME.","06-11-2013 13:01",1622,"Dhaula Kuan, New Delhi, Delhi, India",28.593924,77.164334,105,"8 | 9","Touching /Groping | Indecent exposure",,110010,"Dhaula Kuan Enclave I","New Delhi",Delhi,India
1262,commenting,"in morning in bus a boy stared continuously for 2 hrs","06-11-2013 13:01",1623,"Bus Lane, Dhaula Kuan Enclave 2, Dhaula Kuan, New Delhi, Delhi 110010, India",28.599945,77.162073,105,"2 | 6","Commenting | Ogling/Facial Expressions/Staring",,110010,"Dhaula Kuan Enclave 2","New Delhi",Delhi,India
1263,OGLING,"STANDING AROUND 8 PM AT BUS STAND AND GUYS WERE STANDING AND COMMENTING, I IGNORED.","06-11-2013 13:03",1624,"Dhaula Kuan, New Delhi, Delhi, India",28.593924,77.164334,105,"2 | 6 | 8","Commenting | Ogling/Facial Expressions/Staring | Touching /Groping",,110010,"Dhaula Kuan Enclave I","New Delhi",Delhi,India
1264,commenting,"in night some boys wee passing some comments","06-11-2013 13:04",1625,"Janakpuri, New Delhi, Delhi, India",28.620123,77.093858,105,"2 | 10","Commenting | Sexual Invites",,110058,Janakpuri,"New Delhi",Delhi,India
